date,CON,LAB,LIB DEM,OTHER
2001-10-21,0.29,0.47,0.19,0.05
2001-11-18,0.29,0.46,0.19,0.06
2001-12-16,0.29,0.44,0.2,0.07
2002-01-20,0.3,0.45,0.19,0.06
2002-02-17,0.3,0.47,0.18,0.05
2002-03-17,0.34,0.43,0.17,0.06
2002-04-21,0.29,0.45,0.18,0.08
2002-05-19,0.34,0.42,0.19,0.05
2002-06-23,0.32,0.42,0.2,0.07
2002-07-28,0.33,0.42,0.2,0.04
2002-08-25,0.32,0.41,0.21,0.06
2002-09-22,0.34,0.39,0.2,0.07
2002-10-20,0.32,0.43,0.2,0.06
2002-11-17,0.29,0.42,0.22,0.07
2002-12-15,0.27,0.41,0.23,0.08
2003-01-19,0.3,0.43,0.21,0.06
2003-02-16,0.31,0.39,0.22,0.08
2003-03-16,0.32,0.38,0.24,0.06
2003-04-19,0.3,0.42,0.21,0.07
2003-05-18,0.29,0.42,0.21,0.08
2003-06-22,0.34,0.38,0.21,0.07
2003-07-20,0.34,0.36,0.22,0.09
2003-08-17,0.32,0.37,0.22,0.09
2003-09-21,0.3,0.35,0.28,0.08
2003-10-19,0.33,0.38,0.21,0.08
2003-11-16,0.33,0.38,0.21,0.08
2003-12-14,0.33,0.38,0.22,0.07
2004-01-18,0.34,0.39,0.2,0.07
2004-02-22,0.34,0.36,0.21,0.07
2004-11-03,0.35,0.37,0.21,0.07
2004-04-18,0.33,0.38,0.22,0.06
2004-05-23,0.33,0.37,0.21,0.09
2004-06-13,0.31,0.34,0.22,0.13
2004-07-18,0.3,0.35,0.25,0.1
2004-08-15,0.33,0.36,0.22,0.09
2004-09-19,0.32,0.36,0.22,0.1
2004-10-24,0.31,0.37,0.23,0.09
2004-11-14,0.3,0.38,0.22,0.1
2004-12-19,0.31,0.39,0.22,0.08
2005-01-23,0.32,0.38,0.21,0.09
2005-02-20,0.34,0.37,0.21,0.08
2005-03-20,0.32,0.4,0.2,0.07
2005-03-04,0.34,0.37,0.21,0.08
2005-12-04,0.33,0.39,0.22,0.07
2005-04-19,0.33,0.39,0.22,0.07
2005-04-26,0.33,0.4,0.2,0.07
2005-03-05,0.32,0.38,0.22,0.08
2005-05-05,0.332,0.36200000000000004,0.226,0.08
2005-06-19,0.31,0.38,0.23,0.08
2005-07-17,0.31,0.39,0.23,0.07
2005-08-14,0.31,0.38,0.22,0.09
2005-09-17,0.31,0.4,0.21,0.08
2005-10-20,0.33,0.36,0.22,0.08
2005-11-20,0.33,0.38,0.19,0.1
2005-12-18,0.37,0.35,0.21,0.07
2006-01-22,0.37,0.36,0.19,0.07
2006-02-19,0.37,0.34,0.21,0.08
2006-12-03,0.34,0.37,0.21,0.08
2006-04-23,0.34,0.32,0.24,0.1
2006-05-21,0.38,0.34,0.2,0.08
2006-06-18,0.37,0.32,0.21,0.09
2006-07-23,0.39,0.35,0.17,0.09
2006-08-20,0.4,0.31,0.22,0.08
2006-09-20,0.36,0.32,0.22,0.1
2006-10-22,0.39,0.29,0.22,0.09
2006-11-19,0.37,0.32,0.22,0.09
2006-12-17,0.4,0.32,0.18,0.1
2007-01-21,0.37,0.31,0.23,0.09
2007-02-18,0.4,0.31,0.19,0.1
2007-03-18,0.41,0.31,0.18,0.1
2007-04-22,0.37,0.3,0.21,0.12
2007-05-20,0.34,0.32,0.21,0.12
2007-06-29,0.35,0.39,0.18,0.08
2007-07-22,0.32,0.38,0.2,0.1
2007-08-23,0.34,0.39,0.18,0.09
2007-09-16,0.32,0.4,0.2,0.08
2007-04-10,0.38,0.38,0.16,0.08
2007-10-28,0.4,0.35,0.18,0.07
2007-11-22,0.37,0.31,0.21,0.1
2007-12-19,0.39,0.34,0.18,0.09
2008-01-20,0.37,0.35,0.2,0.08
2008-02-17,0.37,0.34,0.21,0.09
2008-03-16,0.42,0.29,0.21,0.08
2008-04-20,0.39,0.34,0.19,0.09
2008-05-18,0.41,0.27,0.22,0.09
2008-06-22,0.45,0.25,0.2,0.1
2008-07-20,0.43,0.28,0.19,0.1
2008-08-17,0.44,0.29,0.19,0.09
2008-09-25,0.41,0.32,0.18,0.1
2008-10-19,0.42,0.3,0.21,0.07
2008-11-26,0.45,0.3,0.18,0.08
2008-12-14,0.38,0.33,0.19,0.1
2009-01-25,0.44,0.32,0.16,0.08
2009-03-15,0.42,0.3,0.2,0.08
2009-04-19,0.4,0.3,0.19,0.11
2009-05-17,0.39,0.28,0.2,0.14
2009-06-14,0.39,0.27,0.18,0.15
2009-11-07,0.41,0.27,0.2,0.12
2009-08-23,0.42,0.25,0.19,0.15
2009-09-20,0.43,0.26,0.19,0.12
2009-10-18,0.44,0.27,0.18,0.11
2009-11-15,0.42,0.29,0.19,0.1
2009-12-13,0.4,0.31,0.18,0.11
2010-01-24,0.4,0.29,0.21,0.1
2010-02-21,0.37,0.3,0.2,0.13
2010-03-14,0.4,0.31,0.2,0.09
2010-03-31,0.38,0.29,0.23,0.1
2010-03-04,0.37,0.33,0.21,0.09
2010-11-04,0.37,0.31,0.2,0.09
2010-04-18,0.33,0.28,0.3,0.09
2010-04-25,0.33,0.28,0.3,0.08
2010-02-05,0.33,0.28,0.28,0.12
2010-04-05,0.36,0.28,0.26,0.1
2010-06-05,0.36450000000000005,0.2901,0.2303,0.1195
2010-05-23,0.39,0.32,0.21,0.08
2010-06-20,0.39,0.31,0.21,0.08
2010-07-25,0.38,0.34,0.19,0.08
2010-08-15,0.37,0.37,0.18,0.08
2010-09-29,0.35,0.37,0.18,0.1
2010-10-24,0.39,0.36,0.16,0.09
2010-11-21,0.36,0.38,0.14,0.12
2010-12-19,0.37,0.39,0.13,0.11
2011-01-23,0.35,0.39,0.15,0.11
2011-02-20,0.35,0.38,0.18,0.09
2011-03-24,0.37,0.36,0.16,0.11
2011-04-17,0.35,0.37,0.15,0.13
2011-03-05,0.36,0.37,0.15,0.11
2011-06-19,0.37,0.39,0.12,0.12
2011-07-17,0.37,0.36,0.16,0.11
2011-08-21,0.37,0.36,0.17,0.1
2011-09-21,0.37,0.38,0.14,0.12
2011-10-23,0.35,0.39,0.13,0.13
2011-11-20,0.36,0.38,0.14,0.12
2011-12-21,0.37,0.36,0.15,0.13
2012-01-22,0.4,0.35,0.16,0.09
2012-02-19,0.36,0.37,0.14,0.13
2012-03-18,0.39,0.36,0.15,0.1
2012-04-22,0.33,0.41,0.15,0.12
2012-05-20,0.36,0.41,0.11,0.13
2012-06-24,0.34,0.39,0.14,0.13
2012-07-22,0.34,0.39,0.14,0.13
2012-08-26,0.34,0.39,0.15,0.12
2012-09-23,0.31,0.41,0.14,0.14
2012-10-22,0.33,0.41,0.14,0.12
2012-11-18,0.32,0.4,0.13,0.15
2012-12-23,0.32,0.4,0.13,0.16
2013-01-20,0.33,0.38,0.15,0.14
2013-10-02,0.29,0.41,0.13,0.16
2013-10-03,0.31,0.39,0.15,0.15
2013-04-14,0.32,0.38,0.15,0.16
2013-12-05,0.28,0.34,0.11,0.27
2013-09-06,0.29,0.36,0.12,0.22
2013-07-15,0.36,0.36,0.13,0.15
2013-11-08,0.32,0.35,0.14,0.1
2013-09-15,0.32,0.36,0.14,0.1
2013-10-13,0.34,0.38,0.12,0.16
2013-10-11,0.3,0.38,0.13,0.2
2013-08-12,0.32,0.37,0.12,0.18
2014-12-01,0.32,0.35,0.14,0.19
2014-09-02,0.34,0.38,0.1,0.19
2014-11-03,0.35,0.38,0.12,0.16
2014-04-13,0.32,0.37,0.12,0.19
2014-11-05,0.33,0.31,0.13,0.24
2014-06-15,0.31,0.32,0.1,0.27
2014-06-13,0.34,0.33,0.12,0.27
2014-10-08,0.31,0.38,0.12,0.19
2014-09-14,0.33,0.35,0.1,0.22
2014-12-10,0.31,0.35,0.11,0.24
2014-09-11,0.31,0.32,0.11,0.26
2014-12-16,0.28,0.33,0.14,0.25
2015-01-19,0.3,0.33,0.11,0.27
2015-02-15,0.36,0.32,0.1,0.22
2015-03-15,0.36,0.35,0.08,0.21
2015-12-04,0.39,0.33,0.08,0.19
2015-04-19,0.34,0.32,0.1,0.24
2015-04-26,0.35,0.32,0.09,0.24
2015-06-05,0.35,0.35,0.09,0.21
2015-06-05,0.34,0.35,0.09,0.22
2015-07-05,0.37799999999999995,0.312,0.081,0.23
2015-06-14,0.37,0.31,0.08,0.24
2015-12-07,0.38,0.34,0.06,0.22
2015-09-08,0.4,0.31,0.07,0.22
2015-09-13,0.38,0.32,0.08,0.23
2015-11-10,0.38,0.34,0.07,0.21
2015-11-15,0.39,0.33,0.07,0.21
2015-12-20,0.39,0.34,0.07,0.2
2016-01-17,0.4,0.35,0.06,0.19
2016-02-14,0.39,0.32,0.07,0.22
2016-03-13,0.36,0.36,0.08,0.2
